variant,tta_shifts,replay_wall_time,use_calibration,top_k,rank_aware,rank_power,delta_alpha,aves_smooth_alpha,use_thresholds,row_macro_auc,row_scored_classes,file_macro_auc,file_scored_classes,row_texture_auc,row_texture_scored_classes,file_texture_auc,file_texture_scored_classes,row_event_auc,row_event_scored_classes,file_event_auc,file_event_scored_classes,min_taxon_file_auc,texture_event_balance,prob_mean,prob_max,row_macro_auc_delta,file_macro_auc_delta,file_texture_auc_delta,file_event_auc_delta,min_taxon_file_auc_delta,texture_event_balance_delta,worst_file_regime_delta,strict_file_score,strict_public_candidate
manifest_baseline,[0],0.38881993293762207,False,2,True,0.4,0.2,0.0,True,0.9931198940227716,71,0.9921255113051967,71,0.9979878993444548,42,0.9982806210708282,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.25633811950683594,0.9997572898864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
rank035_manifest,[0],0.38881993293762207,False,2,True,0.35,0.2,0.0,True,0.9931326843959404,71,0.9921255113051967,71,0.9979975689902956,42,0.9982806210708282,42,0.9860869894661841,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.26257771253585815,0.9997659921646118,1.2790373168813929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
rank045_manifest,[0],0.38881993293762207,False,2,True,0.45,0.2,0.0,True,0.993082776013747,71,0.9921255113051967,71,0.9979664982221039,42,0.9982806210708282,42,0.9860097990223331,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.2503424882888794,0.999748706817627,-3.711800902461704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
rank050_manifest,[0],0.38881993293762207,False,2,True,0.5,0.2,0.0,True,0.9930119869883658,71,0.9921255113051967,71,0.9979513805505219,42,0.9982806210708282,42,0.9858583825190365,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.2445770800113678,0.9997400045394897,-0.0001079070344057742,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
delta010_manifest,[0],0.38881993293762207,False,2,True,0.4,0.1,0.0,True,0.9931208254852689,71,0.9921255113051967,71,0.9979850470414424,42,0.9982806210708282,42,0.9860760908177074,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.2563377022743225,0.9997572898864746,9.314624973555397e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
delta015_manifest,[0],0.38881993293762207,False,2,True,0.4,0.15,0.0,True,0.9931174194407113,71,0.9921255113051967,71,0.9979819244586481,42,0.9982806210708282,42,0.9860722742423205,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.2563379108905792,0.9997572898864746,-2.4745820602634083e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
delta025_manifest,[0],0.38881993293762207,False,2,True,0.4,0.25,0.0,True,0.9931158249347904,71,0.9921255113051967,71,0.9979865066597003,42,0.9982806210708282,42,0.9860617341607828,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.2563382685184479,0.9997572898864746,-4.069087981117825e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
no_thresholds,[0],0.38881993293762207,False,2,True,0.4,0.2,0.0,False,0.9931198940227716,71,0.9921255113051967,71,0.9979878993444548,42,0.9982806210708282,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.2585179805755615,0.9998474717140198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
no_delta_smooth,[0],0.38881993293762207,False,2,True,0.4,0.0,0.0,True,0.9931171335442063,71,0.9921255113051967,71,0.9979864987568102,42,0.9982806210708282,42,0.9860649494431937,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.25633737444877625,0.9997572898864746,-2.7604785652890484e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
no_rank_aware_closed_public_negative,[0],0.38881993293762207,False,2,False,0.4,0.2,0.0,True,0.993606065686187,71,0.9921255113051967,71,0.9981804097089897,42,0.9982806210708282,42,0.9869811536531616,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.3145792782306671,0.9998266696929932,0.0004861716634154689,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
topk3_manifest,[0],0.38881993293762207,False,3,True,0.4,0.2,0.0,True,0.9929229345089761,71,0.9918147188822396,71,0.9979184630074035,42,0.9982186529637473,42,0.9856880311664266,29,0.9825400557297109,29,0.9770114942528735,0.9825400557297109,0.249554842710495,0.9997506141662598,-0.0001969595137955027,-0.00031079242295706244,-6.196810708081202e-05,-0.0006711586735367314,-0.005582479972135235,-0.0006711586735367314,-0.005582479972135235,0.990551597531689,False
topk1_manifest,[0],0.38881993293762207,False,1,True,0.4,0.2,0.0,True,0.992991802365738,71,0.9911053651647825,71,0.9980594509593319,42,0.9985833467494937,42,0.9856524492301881,29,0.9802751849386496,29,0.9791881800460749,0.9802751849386496,0.26547476649284363,0.9997886419296265,-0.00012809165703353553,-0.0010201461404141243,0.00030272567866551636,-0.0029360294645980334,-0.0034057941789338297,-0.0029360294645980334,-0.0034057941789338297,0.9898370004360761,False
no_file_scale_closed_public_negative,[0],0.38881993293762207,False,0,True,0.4,0.2,0.0,True,0.9939063646893648,71,0.9911053651647825,71,0.9983520336475338,42,0.9985833467494937,42,0.9874678096464995,29,0.9802751849386496,29,0.9791881800460749,0.9802751849386496,0.38302695751190186,0.9998942613601685,0.0007864706665932086,-0.0010201461404141243,0.00030272567866551636,-0.0029360294645980334,-0.0034057941789338297,-0.0029360294645980334,-0.0034057941789338297,0.9898370004360761,False
